"significance_level";"continuous 
variables_100";"continuous 
variables_25";"correlations_100";"correlations_25";"interactions_100";"interactions_25";"large effects_100";"large effects_25";"small effects_100";"small effects_25"
2,5;0,56;0,54;0,6;0,59;0,6;0,58;0,57;0,52;0,64;0,64
5;0,49;0,47;0,53;0,52;0,52;0,5;0,51;0,46;0,56;0,56
7,5;0,45;0,43;0,49;0,47;0,48;0,46;0,47;0,43;0,51;0,51
10;0,41;0,4;0,45;0,44;0,44;0,43;0,44;0,4;0,47;0,47
12,5;0,39;0,37;0,42;0,41;0,41;0,4;0,41;0,37;0,44;0,44
15;0,36;0,35;0,4;0,39;0,39;0,38;0,39;0,35;0,41;0,41
17,5;0,34;0,33;0,38;0,37;0,37;0,36;0,37;0,33;0,39;0,39
20;0,32;0,31;0,36;0,35;0,35;0,34;0,35;0,31;0,37;0,37
22,5;0,3;0,29;0,34;0,33;0,33;0,32;0,33;0,3;0,35;0,35
25;0,29;0,28;0,32;0,31;0,31;0,3;0,32;0,28;0,33;0,33
27,5;0,27;0,26;0,3;0,3;0,3;0,29;0,3;0,27;0,31;0,31
30;0,26;0,25;0,29;0,28;0,28;0,27;0,29;0,26;0,3;0,3
32,5;0,25;0,24;0,28;0,27;0,27;0,26;0,27;0,25;0,28;0,28
35;0,24;0,22;0,26;0,25;0,26;0,25;0,26;0,23;0,27;0,27
37,5;0,22;0,21;0,25;0,24;0,24;0,23;0,25;0,22;0,25;0,25
40;0,21;0,2;0,24;0,23;0,23;0,22;0,23;0,21;0,24;0,24
42,5;0,2;0,19;0,22;0,22;0,22;0,21;0,22;0,2;0,23;0,23
45;0,19;0,18;0,21;0,21;0,21;0,2;0,21;0,19;0,21;0,21
47,5;0,18;0,17;0,2;0,2;0,2;0,19;0,2;0,18;0,2;0,2
50;0,17;0,16;0,19;0,18;0,19;0,18;0,19;0,17;0,19;0,19
52,5;0,16;0,15;0,18;0,17;0,18;0,17;0,18;0,16;0,18;0,18
55;0,15;0,14;0,17;0,16;0,17;0,16;0,17;0,15;0,17;0,17
57,5;0,14;0,13;0,16;0,15;0,16;0,15;0,16;0,14;0,16;0,16
60;0,13;0,12;0,15;0,14;0,15;0,14;0,14;0,13;0,15;0,15
62,5;0,12;0,12;0,14;0,13;0,14;0,13;0,13;0,12;0,14;0,14
65;0,11;0,11;0,13;0,12;0,13;0,12;0,12;0,12;0,13;0,13
67,5;0,11;0,1;0,12;0,11;0,12;0,11;0,11;0,11;0,12;0,12
70;0,1;0,09;0,11;0,1;0,11;0,1;0,1;0,1;0,11;0,11
72,5;0,09;0,08;0,1;0,1;0,1;0,09;0,1;0,09;0,1;0,1
75;0,08;0,08;0,09;0,09;0,09;0,08;0,09;0,08;0,09;0,09
77,5;0,07;0,07;0,08;0,08;0,08;0,08;0,08;0,07;0,08;0,08
80;0,06;0,06;0,07;0,07;0,07;0,07;0,07;0,06;0,07;0,07
82,5;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06
85;0,05;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
87,5;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04
90;0,03;0,03;0,04;0,03;0,03;0,03;0,03;0,03;0,04;0,04
92,5;0,02;0,02;0,03;0,03;0,03;0,02;0,02;0,02;0,03;0,03
95;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02
97,5;0,01;NA;0,01;NA;0,01;NA;0,01;NA;0,01;0,01
